trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
133,False,"{'a': 0.5, 'e': 0.6675000000000071}",35,0,-117.25983125129596,"{0: 26, 1: 1, 2: 6, 3: 0, 4: 2}",0
134,False,"{'a': 0.5, 'e': 0.6650000000000071}",30,7,-50.04520391576332,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.6625000000000072}",30,0,-134.941765177959,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
136,False,"{'a': 0.5, 'e': 0.6600000000000072}",20,0,-40.42566343212093,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.6575000000000073}",20,11,-0.5800075548393311,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.6550000000000074}",20,12,-87.921881468438,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 2}",1
139,False,"{'a': 0.5, 'e': 0.6525000000000074}",20,0,-20.864469313877695,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.6500000000000075}",30,0,-19.351114636680503,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.6475000000000075}",25,10,-23.313051739333453,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.6450000000000076}",25,6,-39.96508282973402,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.6425000000000076}",30,0,-75.12142430967637,"{0: 24, 1: 0, 2: 3, 3: 2, 4: 1}",0
144,False,"{'a': 0.5, 'e': 0.6400000000000077}",25,0,-122.31763174531146,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
145,False,"{'a': 0.5, 'e': 0.6375000000000077}",30,0,-82.43982180440481,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.6350000000000078}",20,0,-22.115842554951474,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.6325000000000078}",20,0,-70.41048066334358,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.6300000000000079}",30,15,-21.00014473628231,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.6275000000000079}",20,0,-15.206768725825128,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
